country,market,admin_1,longitude,latitude,cpcv2,product,source_document,period_date,price_type,product_source,unit,unit_type,currency,value
Zimbabwe,"Bulawayo, Renkini",Bulawayo,28.5734,-20.1471,P33360AA,Diesel,"Famine Early Warning Systems Network (FEWS NET), Zimbabwe, Price (USD)",2009-01-31,Retail,Local,L,Volume,USD,
Zimbabwe,"Bulawayo, Renkini",Bulawayo,28.5734,-20.1471,P33360AA,Diesel,"Famine Early Warning Systems Network (FEWS NET), Zimbabwe, Price (USD)",2009-02-28,Retail,Local,L,Volume,USD,
Zimbabwe,"Bulawayo, Renkini",Bulawayo,28.5734,-20.1471,P33360AA,Diesel,"Famine Early Warning Systems Network (FEWS NET), Zimbabwe, Price (USD)",2009-03-31,Retail,Local,L,Volume,USD,
Zimbabwe,"Bulawayo, Renkini",Bulawayo,28.5734,-20.1471,P33360AA,Diesel,"Famine Early Warning Systems Network (FEWS NET), Zimbabwe, Price (USD)",2009-04-30,Retail,Local,L,Volume,USD,
Zimbabwe,"Bulawayo, Renkini",Bulawayo,28.5734,-20.1471,P33360AA,Diesel,"Famine Early Warning Systems Network (FEWS NET), Zimbabwe, Price (USD)",2009-05-31,Retail,Local,L,Volume,USD,
Zimbabwe,"Bulawayo, Renkini",Bulawayo,28.5734,-20.1471,P33360AA,Diesel,"Famine Early Warning Systems Network (FEWS NET), Zimbabwe, Price (USD)",2009-06-30,Retail,Local,L,Volume,USD,
Zimbabwe,"Bulawayo, Renkini",Bulawayo,28.5734,-20.1471,P33360AA,Diesel,"Famine Early Warning Systems Network (FEWS NET), Zimbabwe, Price (USD)",2009-07-31,Retail,Local,L,Volume,USD,
Zimbabwe,"Bulawayo, Renkini",Bulawayo,28.5734,-20.1471,P33360AA,Diesel,"Famine Early Warning Systems Network (FEWS NET), Zimbabwe, Price (USD)",2009-08-31,Retail,Local,L,Volume,USD,
Zimbabwe,"Bulawayo, Renkini",Bulawayo,28.5734,-20.1471,P33360AA,Diesel,"Famine Early Warning Systems Network (FEWS NET), Zimbabwe, Price (USD)",2009-09-30,Retail,Local,L,Volume,USD,
Zimbabwe,"Bulawayo, Renkini",Bulawayo,28.5734,-20.1471,P33360AA,Diesel,"Famine Early Warning Systems Network (FEWS NET), Zimbabwe, Price (USD)",2009-10-31,Retail,Local,L,Volume,USD,
